TF,OPEN,CLOSE,HIGHEST,LOWEST
1,135.95,140.95,145.2,135
2,137,135.25,137.65,134.8
3,136.2,133.2,138.2,132.85
4,134.5,135.2,137.4,133.1
5,138.35,134.95,139.6,132.85
6,140.7,136.95,145.85,133.5
7,120.9,140.25,142.5,116.65
8,136.75,124.25,138.8,123
9,141.8,136.75,142.4,135.65
10,144.15,141.1,147.25,140.05
11,141.35,143.7,144.4,139.65
12,145.2,140.5,145.7,140
13,144.9,145.05,148.4,143.8
14,149.4,145.55,149.5,144.65
15,148.1,148.7,149.4,147.95
16,148,147.4,151.4,146.55
17,146,146.75,150.25,140.8
18,152.85,147.4,153.4,145.5
19,152.9,151.6,156.65,151
20,154.3,152.3,156.4,151.75
21,153.7,153.2,156.4,152.7
22,154.1,152.2,155.85,149.2
