TF,Date ,series ,OPEN ,HIGHEST,LOWEST,PREV. CLOSE ,ltp ,CLOSE ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1,22-Mar-24,EQ,135.95,145.2,135,135.25,141,140.95,140.91,192.8,25.4,"11,22,09,659","15,81,14,08,681.95","3,60,041"
2,21-Mar-24,EQ,137,137.65,134.8,133.2,135.5,135.25,135.89,192.8,25.4,"3,57,79,582","4,86,21,16,379.95","1,60,584"
3,20-Mar-24,EQ,136.2,138.2,132.85,135.2,133.2,133.2,134.68,192.8,25.4,"3,93,45,072","5,29,90,24,880.25","1,80,058"
4,19-Mar-24,EQ,134.5,137.4,133.1,134.95,135.5,135.2,135.49,192.8,25.4,"4,63,47,136","6,27,95,03,063.40","2,08,165"
5,18-Mar-24,EQ,138.35,139.6,132.85,136.95,135.05,134.95,135.94,192.8,25.4,"5,67,17,160","7,70,99,38,592.60","2,52,813"
6,15-Mar-24,EQ,140.7,145.85,133.5,140.25,136.35,136.95,138.56,192.8,25.4,"12,23,37,843","16,95,08,70,735.65","4,44,142"
7,14-Mar-24,EQ,120.9,142.5,116.65,124.25,140.8,140.25,134.75,192.8,25.4,"19,45,22,257","26,21,23,92,333.45","7,57,990"
8,13-Mar-24,EQ,136.75,138.8,123,136.75,123.6,124.25,128.26,192.8,25.4,"8,88,53,047","11,39,61,16,082.10","5,18,059"
9,12-Mar-24,EQ,141.8,142.4,135.65,141.1,136.75,136.75,137.52,192.8,25.4,"3,47,60,039","4,78,01,98,489.55","2,15,773"
10,11-Mar-24,EQ,144.15,147.25,140.05,143.7,141,141.1,143.72,192.8,25.4,"2,43,21,115","3,49,54,14,956.50","1,60,486"
11,07-Mar-24,EQ,141.35,144.4,139.65,140.5,143.55,143.7,142.71,192.8,25.4,"2,40,18,294","3,42,77,23,256.45","1,39,814"
12,06-Mar-24,EQ,145.2,145.7,140,145.05,141.2,140.5,141.54,192.8,25.4,"2,61,88,126","3,70,67,17,915.70","1,82,748"
13,05-Mar-24,EQ,144.9,148.4,143.8,145.55,145.2,145.05,145.78,192.8,25.4,"2,30,46,386","3,35,97,28,397.25","1,34,792"
14,04-Mar-24,EQ,149.4,149.5,144.65,148.7,145.5,145.55,146.13,192.8,25.4,"2,20,40,025","3,22,08,08,143.75","1,55,997"
15,02-Mar-24,EQ,148.1,149.4,147.95,147.4,148.95,148.7,148.63,192.8,25.4,"41,22,095","61,26,84,270.40","36,669"
16,01-Mar-24,EQ,148,151.4,146.55,146.75,147.1,147.4,148.54,192.8,25.4,"3,06,85,800","4,55,81,02,609.60","1,82,830"
17,29-Feb-24,EQ,146,150.25,140.8,147.4,147.4,146.75,144.82,192.8,25.4,"6,34,90,121","9,19,45,66,846.95","3,02,403"
18,28-Feb-24,EQ,152.85,153.4,145.5,151.6,147.1,147.4,148.35,192.8,25.4,"3,99,47,465","5,92,63,77,824.90","2,32,349"
19,27-Feb-24,EQ,152.9,156.65,151,152.3,152,151.6,153.65,192.8,25.4,"4,39,95,103","6,75,97,45,715.30","2,02,157"
20,26-Feb-24,EQ,154.3,156.4,151.75,153.2,151.95,152.3,153.83,192.8,25.4,"3,55,57,532","5,46,98,66,250.85","1,91,400"
21,23-Feb-24,EQ,153.7,156.4,152.7,152.2,153.1,153.2,154.5,192.8,25.4,"3,44,25,812","5,31,88,71,724.55","1,83,364"
22,22-Feb-24,EQ,154.1,155.85,149.2,154.2,152.7,152.2,152.18,192.8,25.4,"3,93,15,419","5,98,29,21,738.35","2,07,677"
